Rank,Score,Templates,TotalNodes,PackedNodes,PackRate,NumGroups,AvgUtilization
921,471.88,"PMU_3META|IO_2META|COMPUTE_3META|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,201,57.29
922,471.50,"PMU_1META|IO_3META|COMPUTE_3META|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,266,63.75
923,470.88,"PMU_2META|IO_3META|COMPUTE_1META|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,200,57.09
924,470.88,"PMU_2META|IO_3META|COMPUTE_1META|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,200,57.09
925,470.82,"PMU_3META|IO_2META|COMPUTE_2META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,209,57.98
926,470.82,"PMU_3META|IO_2META|COMPUTE_2META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,209,57.98
927,470.50,"PMU_2META|IO_2META|COMPUTE_2META|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,199,56.95
928,470.44,"PMU_1META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,274,64.44
929,470.22,"PMU_2META|IO_2META|COMPUTE_3META|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,209,57.92
930,469.80,"PMU_2META|IO_2META|COMPUTE_3META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,207,57.68
931,469.80,"PMU_2META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,207,57.68
932,469.16,"PMU_2META|IO_2META|COMPUTE_2META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,217,58.62
933,469.12,"PMU_3META|IO_3META|COMPUTE_1META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,209,57.81
934,469.12,"PMU_3META|IO_3META|COMPUTE_1META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,209,57.81
935,469.06,"PMU_3META|IO_1META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,213,58.21
936,468.80,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_1PRE_0POST|META_CHAIN_2",423,423,100.00,201,56.98
937,468.22,"PMU_2META|IO_2META|COMPUTE_3META|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,199,56.72
938,468.22,"PMU_2META|IO_2META|COMPUTE_3META|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,199,56.72
939,468.22,"PMU_2META|IO_3META|COMPUTE_1META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,217,58.52
940,467.90,"PMU_2META|IO_3META|COMPUTE_3META|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,209,57.69
941,467.90,"PMU_2META|IO_3META|COMPUTE_3META|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,209,57.69
942,467.74,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_0POST|META_CHAIN_2",423,423,100.00,209,57.67
943,467.50,"PMU_3META|IO_2META|COMPUTE_2META|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,201,56.85
944,467.50,"PMU_3META|IO_2META|COMPUTE_2META|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,201,56.85
945,467.42,"PMU_3META|IO_1META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,201,56.84
946,467.16,"PMU_2META|IO_2META|COMPUTE_2META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,207,57.42
947,467.16,"PMU_2META|IO_2META|COMPUTE_2META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,207,57.42
948,466.84,"PMU_2META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,217,58.38
949,466.84,"PMU_2META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,217,58.38
950,466.42,"PMU_1META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_1",423,423,100.00,274,64.04
951,466.42,"PMU_1META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_1",423,423,100.00,274,64.04
952,465.20,"PMU_3META|IO_3META|COMPUTE_1META|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,192,55.72
953,465.20,"PMU_3META|IO_3META|COMPUTE_1META|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,192,55.72
954,465.14,"PMU_2META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,217,58.21
955,465.14,"PMU_2META|IO_2META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,217,58.21
956,464.84,"PMU_2META|IO_3META|COMPUTE_2META|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,200,56.48
957,464.84,"PMU_2META|IO_3META|COMPUTE_2META|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,200,56.48
958,464.34,"PMU_3META|IO_2META|COMPUTE_1META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,199,56.33
959,464.14,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_0POST|META_CHAIN_3",423,423,100.00,208,57.21
960,464.02,"PMU_3META|IO_2META|COMPUTE_3META|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,191,55.50
961,464.02,"PMU_3META|IO_2META|COMPUTE_3META|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,191,55.50
962,463.64,"PMU_3META|IO_3META|COMPUTE_2META|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,217,58.06
963,463.52,"PMU_2META|IO_3META|COMPUTE_2META|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,209,57.25
964,463.52,"PMU_2META|IO_3META|COMPUTE_2META|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,209,57.25
965,462.96,"PMU_3META|IO_2META|COMPUTE_2META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,199,56.20
966,462.96,"PMU_3META|IO_2META|COMPUTE_2META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,199,56.20
967,462.94,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_1",423,423,100.00,225,58.79
968,462.94,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_1",423,423,100.00,225,58.79
969,462.88,"PMU_2META|IO_3META|COMPUTE_1META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,208,57.09
970,462.88,"PMU_2META|IO_3META|COMPUTE_1META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,208,57.09
971,462.56,"PMU_2META|IO_3META|COMPUTE_3META|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,233,59.56
972,462.22,"PMU_1META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,224,58.62
973,462.08,"PMU_1META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,242,60.41
974,461.78,"PMU_1META|IO_3META|COMPUTE_2META|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,234,59.58
975,461.50,"PMU_2META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,241,60.25
976,461.36,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_1PRE_2POST|META_CHAIN_1",423,423,100.00,217,57.84
977,461.36,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_2PRE_1POST|META_CHAIN_1",423,423,100.00,217,57.84
978,461.08,"PMU_1META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,242,60.31
979,461.08,"PMU_1META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,242,60.31
980,460.30,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_1",423,423,100.00,225,58.53
981,460.30,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_1",423,423,100.00,225,58.53
982,459.64,"PMU_3META|IO_2META|COMPUTE_2META|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,191,55.06
983,459.64,"PMU_3META|IO_2META|COMPUTE_2META|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,191,55.06
984,459.50,"PMU_1META|IO_3META|COMPUTE_3META|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,234,59.35
985,459.50,"PMU_1META|IO_3META|COMPUTE_3META|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,234,59.35
986,459.26,"PMU_3META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,227,58.63
987,459.10,"PMU_1META|IO_3META|COMPUTE_2META|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,217,57.61
988,458.44,"PMU_1META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,242,60.04
989,458.44,"PMU_1META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,242,60.04
990,458.40,"PMU_1META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,225,58.34
991,458.40,"PMU_1META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,225,58.34
992,457.54,"PMU_2META|IO_3META|COMPUTE_1META|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,200,55.75
993,457.48,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_1",423,423,100.00,241,59.85
994,457.48,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_1",423,423,100.00,241,59.85
995,457.20,"PMU_3META|IO_3META|COMPUTE_1META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,200,55.72
996,457.20,"PMU_3META|IO_3META|COMPUTE_1META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,200,55.72
997,457.12,"PMU_3META|IO_3META|COMPUTE_1META|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,201,55.81
998,457.12,"PMU_3META|IO_3META|COMPUTE_1META|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,201,55.81
999,456.88,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_1PRE_0POST|META_CHAIN_3",423,423,100.00,192,54.89
1000,456.82,"PMU_1META|IO_3META|COMPUTE_3META|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,217,57.38
1001,456.82,"PMU_1META|IO_3META|COMPUTE_3META|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,217,57.38
1002,455.82,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_0POST|META_CHAIN_3",423,423,100.00,200,55.58
1003,455.76,"PMU_1META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,225,58.08
1004,455.76,"PMU_1META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,225,58.08
1005,454.88,"PMU_2META|IO_2META|COMPUTE_3META|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,199,55.39
1006,454.16,"PMU_3META|IO_2META|COMPUTE_2META|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,201,55.52
1007,453.82,"PMU_2META|IO_2META|COMPUTE_2META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,207,56.08
1008,453.46,"PMU_3META|IO_2META|COMPUTE_3META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,209,56.25
1009,453.46,"PMU_3META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,209,56.25
1010,453.08,"PMU_1META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,274,62.71
1011,451.88,"PMU_3META|IO_2META|COMPUTE_3META|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,201,55.29
1012,451.88,"PMU_3META|IO_2META|COMPUTE_3META|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,201,55.29
1013,451.80,"PMU_2META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,217,56.88
1014,451.08,"PMU_3META|IO_3META|COMPUTE_2META|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,201,55.21
1015,451.08,"PMU_3META|IO_3META|COMPUTE_2META|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,201,55.21
1016,450.82,"PMU_3META|IO_2META|COMPUTE_2META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,209,55.98
1017,450.82,"PMU_3META|IO_2META|COMPUTE_2META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,209,55.98
1018,450.38,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_0POST|META_CHAIN_2",423,423,100.00,209,55.94
1019,450.18,"PMU_2META|IO_3META|COMPUTE_2META|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,209,55.92
1020,449.80,"PMU_2META|IO_2META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,207,55.68
